External_Id__c,Subject,Account:External_Id__c,Contact:External_Id__c,Type,Status,Origin,Priority,Reason
CASE-000142,Issue #142,ACC-000069,CON-000150,Billing,Closed,Phone,Medium,Performance
CASE-000143,Issue #143,ACC-000047,CON-001122,Installation,Working,Phone,High,Return
CASE-000144,Issue #144,ACC-000150,CON-000546,Connectivity,Working,Email,Low,Performance
CASE-000145,Issue #145,ACC-000133,CON-001426,Electrical,Closed,Web,Low,Bug
CASE-000146,Issue #146,ACC-000440,CON-001228,Software,Closed,Web,High,Return
CASE-000147,Issue #147,ACC-000437,CON-000995,Software,New,Phone,Low,Equipment Complexity
CASE-000148,Issue #148,ACC-000274,CON-000501,Shipping,Closed,Phone,Medium,Equipment Complexity
CASE-000149,Issue #149,ACC-000010,CON-000813,Installation,Closed,Web,Medium,Bug
CASE-000150,Issue #150,ACC-000441,CON-000576,Equipment,Working,Phone,Low,Performance
CASE-000151,Issue #151,ACC-000300,CON-000604,Billing,New,Phone,Low,Performance
CASE-000152,Issue #152,ACC-000355,CON-001146,Billing,Closed,Web,Medium,Equipment Complexity
CASE-000153,Issue #153,ACC-000359,CON-001156,Software,Working,Web,Low,Network Issue
CASE-000154,Issue #154,ACC-000195,CON-000552,Equipment,New,Web,Medium,Bug
CASE-000155,Issue #155,ACC-000027,CON-000529,Software,New,Phone,High,Shipment Damaged
CASE-000156,Issue #156,ACC-000342,CON-001476,Installation,Closed,Web,Medium,Shipment Damaged
CASE-000157,Issue #157,ACC-000278,CON-000047,Equipment,New,Web,Low,Bug
CASE-000158,Issue #158,ACC-000033,CON-000208,Software,Closed,Web,High,Network Issue
CASE-000159,Issue #159,ACC-000470,CON-000670,Electrical,Closed,Web,Low,Other
CASE-000160,Issue #160,ACC-000027,CON-001302,Equipment,Closed,Phone,Medium,Bug
CASE-000161,Issue #161,ACC-000465,CON-000091,Equipment,Closed,Email,Medium,Bug
CASE-000162,Issue #162,ACC-000194,CON-000844,Connectivity,New,Phone,Low,Shipment Damaged
CASE-000163,Issue #163,ACC-000162,CON-000046,Shipping,Working,Email,Medium,Shipment Damaged
CASE-000164,Issue #164,ACC-000306,CON-000795,Shipping,Working,Phone,Low,Equipment Complexity
CASE-000165,Issue #165,ACC-000002,CON-000491,Software,Closed,Web,Medium,Return
CASE-000166,Issue #166,ACC-000291,CON-000705,Billing,Closed,Web,Medium,Performance
CASE-000167,Issue #167,ACC-000039,CON-000641,Shipping,Closed,Web,Low,Network Issue
CASE-000168,Issue #168,ACC-000437,CON-000918,Connectivity,Closed,Phone,Medium,Shipment Damaged
CASE-000169,Issue #169,ACC-000228,CON-001196,Connectivity,Working,Phone,Medium,Return
CASE-000170,Issue #170,ACC-000255,CON-001123,Billing,Closed,Phone,Medium,Other
CASE-000171,Issue #171,ACC-000101,CON-000731,Software,Closed,Phone,Low,Performance
CASE-000172,Issue #172,ACC-000389,CON-001324,Electrical,Working,Phone,Low,Bug
CASE-000173,Issue #173,ACC-000326,CON-001151,Electrical,Working,Web,High,Other
CASE-000174,Issue #174,ACC-000201,CON-001419,Electrical,Closed,Phone,Medium,Network Issue
CASE-000175,Issue #175,ACC-000076,CON-000576,Connectivity,Closed,Phone,High,Equipment Complexity
CASE-000176,Issue #176,ACC-000169,CON-000092,Shipping,Closed,Email,Low,Performance
CASE-000177,Issue #177,ACC-000134,CON-000618,Electrical,New,Phone,Medium,Shipment Damaged
CASE-000178,Issue #178,ACC-000186,CON-001081,Billing,New,Web,Low,Bug
CASE-000179,Issue #179,ACC-000359,CON-000703,Billing,New,Phone,Low,Return
CASE-000180,Issue #180,ACC-000082,CON-000022,Equipment,Closed,Phone,Low,Bug
CASE-000181,Issue #181,ACC-000460,CON-001213,Electrical,Closed,Email,Medium,Network Issue
CASE-000182,Issue #182,ACC-000295,CON-000551,Electrical,Working,Web,Low,Bug
CASE-000183,Issue #183,ACC-000069,CON-000690,Billing,Closed,Web,Medium,Shipment Damaged
CASE-000184,Issue #184,ACC-000125,CON-000271,Software,Closed,Phone,Medium,Other
CASE-000185,Issue #185,ACC-000338,CON-000287,Billing,Closed,Web,Low,Other
CASE-000186,Issue #186,ACC-000239,CON-000836,Equipment,New,Web,High,Network Issue
CASE-000187,Issue #187,ACC-000244,CON-001287,Shipping,Working,Phone,High,Return
CASE-000188,Issue #188,ACC-000228,CON-000466,Software,Working,Email,Low,Network Issue
CASE-000189,Issue #189,ACC-000232,CON-000232,Billing,Closed,Phone,Low,Equipment Complexity
CASE-000190,Issue #190,ACC-000127,CON-000173,Installation,Closed,Email,Low,Performance
CASE-000191,Issue #191,ACC-000254,CON-001299,Installation,Working,Email,Medium,Equipment Complexity
CASE-000192,Issue #192,ACC-000471,CON-000289,Electrical,Closed,Web,High,Other
CASE-000193,Issue #193,ACC-000085,CON-000611,Electrical,Closed,Web,Low,Performance
CASE-000194,Issue #194,ACC-000194,CON-000793,Billing,Closed,Phone,Low,Equipment Complexity
CASE-000195,Issue #195,ACC-000489,CON-000069,Billing,New,Email,Medium,Shipment Damaged
CASE-000196,Issue #196,ACC-000450,CON-000189,Equipment,Closed,Phone,Medium,Equipment Complexity
CASE-000197,Issue #197,ACC-000025,CON-000611,Shipping,New,Web,Medium,Return
CASE-000198,Issue #198,ACC-000345,CON-000647,Installation,New,Email,Medium,Network Issue
CASE-000199,Issue #199,ACC-000361,CON-000260,Billing,New,Email,Medium,Bug
CASE-000200,Issue #200,ACC-000365,CON-001435,Connectivity,New,Web,Medium,Return
CASE-000201,Issue #201,ACC-000311,CON-000166,Equipment,Closed,Web,Low,Other
CASE-000202,Issue #202,ACC-000258,CON-000430,Billing,Closed,Web,High,Network Issue
CASE-000203,Issue #203,ACC-000414,CON-000960,Electrical,Working,Email,Low,Return
CASE-000204,Issue #204,ACC-000280,CON-001135,Equipment,Closed,Phone,Medium,Return
CASE-000205,Issue #205,ACC-000028,CON-001429,Connectivity,Working,Email,Low,Bug
CASE-000206,Issue #206,ACC-000202,CON-001104,Shipping,Closed,Phone,Medium,Network Issue
CASE-000207,Issue #207,ACC-000453,CON-001256,Connectivity,Closed,Email,Medium,Return
CASE-000208,Issue #208,ACC-000222,CON-000739,Billing,Working,Email,Medium,Bug
CASE-000209,Issue #209,ACC-000438,CON-000140,Installation,Closed,Web,Medium,Bug
CASE-000210,Issue #210,ACC-000332,CON-001165,Equipment,Working,Email,Low,Other
CASE-000211,Issue #211,ACC-000066,CON-000528,Installation,New,Web,High,Other
CASE-000212,Issue #212,ACC-000034,CON-000426,Electrical,Working,Web,Medium,Equipment Complexity
CASE-000213,Issue #213,ACC-000377,CON-001014,Electrical,Closed,Phone,Medium,Performance
CASE-000214,Issue #214,ACC-000105,CON-000310,Equipment,Working,Web,Medium,Return
CASE-000215,Issue #215,ACC-000306,CON-000987,Shipping,Closed,Web,High,Equipment Complexity
CASE-000216,Issue #216,ACC-000367,CON-000194,Installation,New,Email,Low,Bug
CASE-000217,Issue #217,ACC-000150,CON-000536,Installation,Working,Email,High,Shipment Damaged
CASE-000218,Issue #218,ACC-000312,CON-000297,Equipment,New,Phone,Medium,Network Issue
CASE-000219,Issue #219,ACC-000417,CON-000053,Installation,Working,Web,Medium,Shipment Damaged
CASE-000220,Issue #220,ACC-000388,CON-000586,Software,New,Email,Low,Performance
CASE-000221,Issue #221,ACC-000191,CON-001334,Installation,Working,Web,Low,Performance
CASE-000222,Issue #222,ACC-000388,CON-001435,Shipping,Working,Email,Low,Other
CASE-000223,Issue #223,ACC-000136,CON-000706,Installation,Closed,Web,Medium,Return
CASE-000224,Issue #224,ACC-000411,CON-000285,Connectivity,New,Web,High,Shipment Damaged
CASE-000225,Issue #225,ACC-000013,CON-001007,Equipment,New,Web,Low,Equipment Complexity
CASE-000226,Issue #226,ACC-000262,CON-001195,Installation,Closed,Phone,Low,Equipment Complexity
CASE-000227,Issue #227,ACC-000041,CON-001102,Equipment,New,Phone,Medium,Network Issue
CASE-000228,Issue #228,ACC-000436,CON-000825,Software,Working,Email,Medium,Bug
CASE-000229,Issue #229,ACC-000422,CON-000854,Electrical,Working,Email,Medium,Bug
CASE-000230,Issue #230,ACC-000104,CON-000347,Billing,Working,Web,Medium,Other
CASE-000231,Issue #231,ACC-000163,CON-001220,Equipment,Closed,Web,Medium,Equipment Complexity
CASE-000232,Issue #232,ACC-000271,CON-000390,Equipment,Closed,Web,Medium,Return
CASE-000233,Issue #233,ACC-000477,CON-000682,Software,Working,Email,Medium,Network Issue
CASE-000234,Issue #234,ACC-000396,CON-000880,Installation,Closed,Phone,High,Bug
CASE-000235,Issue #235,ACC-000169,CON-001208,Shipping,Closed,Email,Medium,Equipment Complexity
CASE-000236,Issue #236,ACC-000285,CON-000710,Equipment,Closed,Phone,Low,Return
CASE-000237,Issue #237,ACC-000238,CON-000346,Billing,New,Email,Low,Other
CASE-000238,Issue #238,ACC-000226,CON-000443,Connectivity,Working,Email,Low,Bug
CASE-000239,Issue #239,ACC-000078,CON-000838,Connectivity,Closed,Web,High,Performance
CASE-000240,Issue #240,ACC-000115,CON-001121,Installation,New,Phone,Low,Network Issue
CASE-000241,Issue #241,ACC-000385,CON-000504,Equipment,Working,Phone,Low,Bug
CASE-000242,Issue #242,ACC-000371,CON-000680,Connectivity,New,Phone,Medium,Other
CASE-000243,Issue #243,ACC-000395,CON-000763,Shipping,New,Email,Low,Other
CASE-000244,Issue #244,ACC-000271,CON-001236,Electrical,Closed,Email,Low,Network Issue
CASE-000245,Issue #245,ACC-000246,CON-001456,Billing,Working,Web,Medium,Shipment Damaged
CASE-000246,Issue #246,ACC-000341,CON-000288,Shipping,Closed,Web,High,Network Issue
CASE-000247,Issue #247,ACC-000104,CON-000122,Software,New,Phone,Medium,Other
CASE-000248,Issue #248,ACC-000340,CON-000124,Shipping,Working,Email,Low,Return
CASE-000249,Issue #249,ACC-000099,CON-001353,Billing,Closed,Phone,Low,Performance
CASE-000250,Issue #250,ACC-000414,CON-000466,Connectivity,Working,Web,Medium,Equipment Complexity
CASE-000251,Issue #251,ACC-000425,CON-000101,Connectivity,Closed,Phone,Medium,Performance
CASE-000252,Issue #252,ACC-000421,CON-000223,Electrical,Working,Phone,Low,Bug
CASE-000253,Issue #253,ACC-000499,CON-000720,Billing,Working,Email,Medium,Network Issue
CASE-000254,Issue #254,ACC-000484,CON-001331,Software,Closed,Phone,High,Performance
CASE-000255,Issue #255,ACC-000351,CON-000050,Equipment,Closed,Phone,Low,Return
CASE-000256,Issue #256,ACC-000100,CON-001212,Software,Working,Web,Low,Shipment Damaged
CASE-000257,Issue #257,ACC-000077,CON-001018,Installation,Working,Phone,Low,Performance
CASE-000258,Issue #258,ACC-000489,CON-000497,Equipment,New,Email,Medium,Network Issue
CASE-000259,Issue #259,ACC-000277,CON-000546,Installation,Working,Web,High,Bug
CASE-000260,Issue #260,ACC-000127,CON-000524,Software,Closed,Email,Low,Performance
CASE-000261,Issue #261,ACC-000300,CON-000091,Electrical,Working,Phone,Medium,Bug
CASE-000262,Issue #262,ACC-000106,CON-001419,Billing,Working,Web,Medium,Equipment Complexity
CASE-000263,Issue #263,ACC-000107,CON-000272,Connectivity,Closed,Email,Medium,Performance
CASE-000264,Issue #264,ACC-000343,CON-000964,Installation,New,Phone,High,Bug
CASE-000265,Issue #265,ACC-000078,CON-000822,Connectivity,Working,Email,Low,Equipment Complexity
CASE-000266,Issue #266,ACC-000492,CON-001232,Shipping,Working,Web,Medium,Bug
CASE-000267,Issue #267,ACC-000397,CON-000734,Equipment,Closed,Phone,Medium,Return
CASE-000268,Issue #268,ACC-000005,CON-000781,Software,Closed,Phone,Low,Shipment Damaged
CASE-000269,Issue #269,ACC-000184,CON-000749,Connectivity,Working,Web,Medium,Shipment Damaged
CASE-000270,Issue #270,ACC-000135,CON-000731,Installation,New,Web,High,Shipment Damaged
CASE-000271,Issue #271,ACC-000344,CON-000977,Connectivity,Closed,Web,High,Equipment Complexity
CASE-000272,Issue #272,ACC-000360,CON-000589,Connectivity,Closed,Email,Medium,Network Issue
CASE-000273,Issue #273,ACC-000236,CON-000177,Equipment,New,Email,Medium,Return
CASE-000274,Issue #274,ACC-000494,CON-001308,Installation,Closed,Phone,Low,Shipment Damaged
CASE-000275,Issue #275,ACC-000186,CON-000785,Electrical,Closed,Web,Medium,Performance
CASE-000276,Issue #276,ACC-000015,CON-001166,Software,Working,Web,Low,Return
CASE-000277,Issue #277,ACC-000467,CON-000542,Connectivity,Working,Phone,Medium,Performance
CASE-000278,Issue #278,ACC-000002,CON-001211,Equipment,Working,Email,Medium,Bug
CASE-000279,Issue #279,ACC-000300,CON-000439,Software,New,Email,Medium,Other
CASE-000280,Issue #280,ACC-000422,CON-000462,Connectivity,New,Phone,Medium,Bug
CASE-000281,Issue #281,ACC-000371,CON-001147,Equipment,Closed,Web,High,Bug
CASE-000282,Issue #282,ACC-000439,CON-001230,Connectivity,New,Web,Low,Bug
CASE-000283,Issue #283,ACC-000200,CON-000156,Connectivity,Working,Email,Medium,Performance
CASE-000284,Issue #284,ACC-000136,CON-001323,Equipment,New,Phone,Medium,Other
CASE-000285,Issue #285,ACC-000277,CON-000233,Connectivity,Working,Web,Low,Performance
CASE-000286,Issue #286,ACC-000341,CON-000607,Billing,Working,Email,Low,Return
CASE-000287,Issue #287,ACC-000212,CON-000140,Installation,Working,Web,Low,Network Issue
CASE-000288,Issue #288,ACC-000185,CON-000273,Shipping,New,Web,High,Shipment Damaged
CASE-000289,Issue #289,ACC-000021,CON-000454,Installation,Closed,Phone,Low,Performance
CASE-000290,Issue #290,ACC-000333,CON-000314,Electrical,Closed,Email,Low,Bug
CASE-000291,Issue #291,ACC-000272,CON-001304,Shipping,Working,Email,Medium,Performance
CASE-000292,Issue #292,ACC-000435,CON-000041,Shipping,Working,Phone,High,Equipment Complexity
CASE-000293,Issue #293,ACC-000331,CON-000676,Electrical,Closed,Phone,Medium,Return
CASE-000294,Issue #294,ACC-000117,CON-000474,Software,Working,Email,High,Return
CASE-000295,Issue #295,ACC-000001,CON-000381,Equipment,Closed,Web,Medium,Performance
CASE-000296,Issue #296,ACC-000097,CON-001160,Connectivity,New,Phone,Low,Other
CASE-000297,Issue #297,ACC-000070,CON-000699,Connectivity,New,Email,Medium,Bug
CASE-000298,Issue #298,ACC-000408,CON-000153,Shipping,New,Phone,High,Return
CASE-000299,Issue #299,ACC-000291,CON-000882,Electrical,Closed,Phone,Low,Performance
CASE-000300,Issue #300,ACC-000038,CON-000470,Installation,Working,Phone,Medium,Bug
CASE-000301,Issue #301,ACC-000048,CON-000273,Electrical,New,Phone,Medium,Shipment Damaged
CASE-000302,Issue #302,ACC-000304,CON-000052,Connectivity,New,Web,Medium,Performance
CASE-000303,Issue #303,ACC-000213,CON-001410,Connectivity,Closed,Email,Low,Other
CASE-000304,Issue #304,ACC-000113,CON-000054,Equipment,Closed,Web,High,Other
